,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,brentq,brentq_steps
140,2017-02-17,2017-05-19,120.0,ALXN,Call,14.2,0.36611,128.820007,0.24914442162902126,0.3647441972356761,8.0
141,2017-02-17,2017-05-19,130.0,ALXN,Call,8.0,0.33039,128.820007,0.24914442162902126,0.3304069292213796,6.0
142,2017-02-17,2017-05-19,140.0,ALXN,Call,4.8,0.35431,128.820007,0.24914442162902126,0.34770756710840867,9.0
143,2017-02-17,2017-05-19,120.0,ALXN,Put,6.0,0.3989,128.820007,0.24914442162902126,0.3983117323355142,8.0
144,2017-02-17,2017-08-18,135.0,ALXN,Call,10.7,0.35885,128.820007,0.4982888432580425,0.3627728257831844,7.0
145,2017-02-17,2019-01-18,120.0,ALXN,Call,24.0,0.27424,128.820007,1.9164955509924708,0.27364781629886764,8.0
146,2017-02-17,2017-03-17,95.0,ALGN,Call,7.2,0.21838,101.769997,0.07665982203969883,0.22201531570308677,11.0
147,2017-02-17,2017-04-21,95.0,ALGN,Call,8.1,0.22492,101.769997,0.17248459958932238,0.22788430043871125,9.0
148,2017-02-17,2017-04-21,95.0,ALGN,Put,1.55,0.24313,101.769997,0.17248459958932238,0.25161149155403784,9.0
149,2017-02-17,2017-07-21,95.0,ALGN,Put,5.1,0.31827,101.769997,0.4216290212183436,0.3193637083924199,8.0
150,2017-02-17,2017-07-21,105.0,ALGN,Put,9.6,0.28981,101.769997,0.4216290212183436,0.29974291916758355,7.0
151,2017-02-17,2017-03-17,50.0,ALKS,Put,0.83,0.43731,54.57,0.07665982203969883,0.42954751977686756,10.0
152,2017-02-17,2017-03-17,55.0,ALKS,Put,2.63,0.39059,54.57,0.07665982203969883,0.40019808228217835,6.0
153,2017-02-17,2017-05-19,60.0,ALKS,Put,8.56,0.48318,54.57,0.24914442162902126,0.48137591850898703,9.0
154,2017-02-17,2017-08-18,55.0,ALKS,Put,6.56,0.421,54.57,0.4982888432580425,0.4176574418738977,7.0
155,2017-02-17,2017-03-17,175.0,ALGT,Put,8.47,0.35248,171.399994,0.07665982203969883,0.34271176091841093,7.0
156,2017-02-17,2017-04-21,185.0,ALGT,Call,3.4,0.28983000000000003,171.399994,0.17248459958932238,0.287620911993907,9.0
157,2017-02-17,2017-03-17,25.0,AMOT,Call,0.5,0.44712,23.24,0.07665982203969883,0.44095584564364565,9.0
158,2017-02-17,2017-09-15,5.0,ALLT,Put,0.67,0.4254600000000001,4.92,0.5749486652977412,0.42678898462248144,7.0
159,2017-02-17,2017-03-17,50.0,ALNY,Put,4.1,0.57655,48.279999,0.07665982203969883,0.5862026102719349,8.0
160,2017-02-17,2017-10-20,45.0,ALNY,Call,11.44,0.6428699999999999,48.279999,0.6707734428473648,0.6403416982316844,8.0
161,2017-02-17,2018-01-19,50.0,ALNY,Call,11.4,0.6654399999999999,48.279999,0.919917864476386,0.6574496448231896,7.0
162,2017-02-17,2017-02-24,842.5,GOOG,Call,0.51,0.09636,828.070007,0.01916495550992471,0.09583804656651103,11.0
163,2017-02-17,2017-02-24,860.0,GOOG,Call,0.1,0.13591,828.070007,0.01916495550992471,0.13018236041447537,14.0
164,2017-02-17,2017-02-24,770.0,GOOG,Put,0.19,0.24997,828.070007,0.01916495550992471,0.25263736317743757,14.0
165,2017-02-17,2017-02-24,772.5,GOOG,Put,0.1,0.21872,828.070007,0.01916495550992471,0.22196618220827882,15.0
166,2017-02-17,2017-02-24,787.5,GOOG,Put,0.85,0.2487,828.070007,0.01916495550992471,0.2461765413211138,12.0
167,2017-02-17,2017-02-24,792.5,GOOG,Put,0.16,0.15367999999999998,828.070007,0.01916495550992471,0.16033032940842024,14.0
168,2017-02-17,2017-02-24,795.0,GOOG,Put,0.25,0.1634,828.070007,0.01916495550992471,0.16246815487037666,13.0
169,2017-02-17,2017-02-24,797.5,GOOG,Put,0.51,0.17761,828.070007,0.01916495550992471,0.17526723728914692,12.0
170,2017-02-17,2017-02-24,812.5,GOOG,Put,0.94,0.12759,828.070007,0.01916495550992471,0.12380896318142613,10.0
171,2017-02-17,2017-02-24,820.0,GOOG,Put,2.13,0.11406,828.070007,0.01916495550992471,0.11480132143745106,9.0
172,2017-02-17,2017-02-24,822.5,GOOG,Put,2.8,0.10825,828.070007,0.01916495550992471,0.11273284579948062,8.0
173,2017-02-17,2017-02-24,825.0,GOOG,Put,3.53,0.10511,828.070007,0.01916495550992471,0.10835250621054075,7.0
174,2017-02-17,2017-02-24,827.5,GOOG,Put,4.9,0.10994,828.070007,0.01916495550992471,0.11414747296108076,6.0
175,2017-02-17,2017-03-03,815.0,GOOG,Call,15.4,0.11137,828.070007,0.03832991101984942,0.10675864885012215,9.0
176,2017-02-17,2017-03-03,820.0,GOOG,Call,12.0,0.11345,828.070007,0.03832991101984942,0.1110372787376627,8.0
177,2017-02-17,2017-03-03,822.5,GOOG,Call,10.8,0.11345,828.070007,0.03832991101984942,0.11784187406620336,7.0
178,2017-02-17,2017-03-03,827.5,GOOG,Call,7.11,0.10742,828.070007,0.03832991101984942,0.10425012644846973,6.0
179,2017-02-17,2017-03-03,830.0,GOOG,Call,6.5,0.11531,828.070007,0.03832991101984942,0.11354752905997643,6.0
180,2017-02-17,2017-03-03,842.5,GOOG,Call,2.39,0.11673,828.070007,0.03832991101984942,0.11420042221156518,9.0
181,2017-02-17,2017-03-03,867.5,GOOG,Call,0.68,0.1597,828.070007,0.03832991101984942,0.15357505183608397,12.0
182,2017-02-17,2017-03-10,830.0,GOOG,Call,8.7,0.12356,828.070007,0.057494866529774126,0.12008804707443813,6.0
183,2017-02-17,2017-03-10,835.0,GOOG,Call,6.7,0.11668,828.070007,0.057494866529774126,0.12170869082603647,7.0
184,2017-02-17,2017-03-10,837.5,GOOG,Call,5.2,0.11701,828.070007,0.057494866529774126,0.11378947480395143,8.0
185,2017-02-17,2017-03-10,842.5,GOOG,Call,3.56,0.11668,828.070007,0.057494866529774126,0.11159778677395925,9.0
186,2017-02-17,2017-03-10,847.5,GOOG,Call,2.7,0.11668,828.070007,0.057494866529774126,0.11624159809887631,9.0
187,2017-02-17,2017-03-10,867.5,GOOG,Call,1.05,0.136,828.070007,0.057494866529774126,0.1385002582697257,11.0
188,2017-02-17,2017-03-10,890.0,GOOG,Call,0.35,0.15795,828.070007,0.057494866529774126,0.1570306556470777,13.0
189,2017-02-17,2017-03-17,810.0,GOOG,Call,23.2,0.12565,828.070007,0.07665982203969883,0.1304969246044291,9.0
190,2017-02-17,2017-03-17,880.0,GOOG,Call,0.55,0.1221,828.070007,0.07665982203969883,0.1281905425933751,13.0
191,2017-02-17,2017-03-17,905.0,GOOG,Call,0.15,0.14627,828.070007,0.07665982203969883,0.14275781991163938,15.0
192,2017-02-17,2017-03-24,815.0,GOOG,Call,18.93,0.10438,828.070007,0.09582477754962354,0.10750450506878283,8.0
193,2017-02-17,2017-03-24,825.0,GOOG,Call,14.78,0.13335,828.070007,0.09582477754962354,0.1271423650970913,6.0
194,2017-02-17,2017-03-24,830.0,GOOG,Call,12.5,0.13335,828.070007,0.09582477754962354,0.12947815314216787,6.0
195,2017-02-17,2017-03-24,840.0,GOOG,Call,7.6,0.11978,828.070007,0.09582477754962354,0.12168183891969905,8.0
196,2017-02-17,2017-03-24,850.0,GOOG,Call,4.7,0.11668,828.070007,0.09582477754962354,0.12218048890322249,9.0
197,2017-02-17,2017-03-24,860.0,GOOG,Call,3.15,0.13468,828.070007,0.09582477754962354,0.1287194629556788,10.0
198,2017-02-17,2017-03-03,757.5,GOOG,Put,0.61,0.24997,828.070007,0.03832991101984942,0.2572492586145973,13.0
199,2017-02-17,2017-03-03,770.0,GOOG,Put,0.4,0.19337,828.070007,0.03832991101984942,0.20166241043919206,13.0
200,2017-02-17,2017-03-03,787.5,GOOG,Put,0.68,0.16792,828.070007,0.03832991101984942,0.1658434495829025,12.0
201,2017-02-17,2017-03-03,792.5,GOOG,Put,1.65,0.1902,828.070007,0.03832991101984942,0.18705412485858575,11.0
202,2017-02-17,2017-03-03,795.0,GOOG,Put,0.99,0.16214,828.070007,0.03832991101984942,0.15428268548716137,11.0
203,2017-02-17,2017-03-03,797.5,GOOG,Put,1.15,0.14627,828.070007,0.03832991101984942,0.1512285210382272,11.0
204,2017-02-17,2017-03-03,807.5,GOOG,Put,2.05,0.13626,828.070007,0.03832991101984942,0.13757038803303556,10.0
205,2017-02-17,2017-03-03,815.0,GOOG,Put,3.5,0.13028,828.070007,0.03832991101984942,0.13297914145850068,8.0
206,2017-02-17,2017-03-03,822.5,GOOG,Put,5.96,0.13214,828.070007,0.03832991101984942,0.13218165814015037,7.0
207,2017-02-17,2017-03-10,750.0,GOOG,Put,0.56,0.21865,828.070007,0.057494866529774126,0.22592307497681882,13.0
208,2017-02-17,2017-03-10,767.5,GOOG,Put,0.85,0.19054,828.070007,0.057494866529774126,0.19718395543514936,12.0
209,2017-02-17,2017-03-10,775.0,GOOG,Put,1.0,0.18839,828.070007,0.057494866529774126,0.18329322587909527,12.0
210,2017-02-17,2017-03-10,785.0,GOOG,Put,1.25,0.16372,828.070007,0.057494866529774126,0.16389758551221226,11.0
211,2017-02-17,2017-03-10,792.5,GOOG,Put,1.58,0.14682,828.070007,0.057494866529774126,0.15108325953273652,11.0
212,2017-02-17,2017-03-10,797.5,GOOG,Put,1.97,0.14529,828.070007,0.057494866529774126,0.14485365052539304,10.0
213,2017-02-17,2017-03-10,802.5,GOOG,Put,2.69,0.14879,828.070007,0.057494866529774126,0.14300991789453735,10.0
214,2017-02-17,2017-03-10,810.0,GOOG,Put,3.81,0.14086,828.070007,0.057494866529774126,0.13437531913971695,9.0
215,2017-02-17,2017-03-17,755.0,GOOG,Put,0.81,0.18939,828.070007,0.07665982203969883,0.19810945994031942,13.0
