,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,new_halley,new_halley_steps
852,2/17/17,3/24/17,36.0,EBAY,Call,0.13,0.18005,33.759997999999996,0.09582477800000001,0.18355320818100318,1.0
853,2/17/17,3/3/17,143.0,AAPL,Call,0.13,0.18024,135.720001,0.038329911,0.17389355203690843,1.0
854,2/17/17,4/21/17,180.0,AMGN,Put,9.4,0.18028,173.28999299999998,0.1724846,0.1885472173790083,1.0
855,2/17/17,7/21/17,39.700000700000004,GBCI,Call,0.65,0.18031,36.630001,0.421629021,0.1777267622597232,1.0
856,2/17/17,3/10/17,102.0,HAS,Call,0.56,0.18037999999999998,98.5,0.057494867000000005,0.18601648449562191,1.0
857,2/17/17,3/3/17,35.5,AMAT,Call,0.62,0.1804,35.669998,0.038329911,0.18959970136197993,1.0
858,2/17/17,3/3/17,295.0,IBB,Put,4.6,0.18043,294.350006,0.038329911,0.18671686320222422,1.0
859,2/17/17,3/24/17,760.0,GOOG,Put,1.2,0.18070999999999998,828.070007,0.09582477800000001,0.18136368712499076,1.0
860,2/17/17,6/16/17,820.0,GOOGL,Put,22.6,0.18078,846.5499880000001,0.32580424399999997,0.18353440768437,1.0
861,2/17/17,3/24/17,790.0,AMZN,Put,2.95,0.18078,845.070007,0.09582477800000001,0.18981224339301458,1.0
862,2/17/17,3/24/17,820.0,AMZN,Put,8.03,0.18078,845.070007,0.09582477800000001,0.17479352887739943,1.0
863,2/17/17,4/21/17,31.0,CSCO,Put,0.16,0.18087,33.740002000000004,0.1724846,0.18296119418721696,1.0
864,2/17/17,6/16/17,65.0,CDW,Call,0.8,0.18092,59.990002000000004,0.32580424399999997,0.17821109343079264,1.0
865,2/17/17,3/17/17,145.0,FB,Call,0.12,0.18111,133.529999,0.076659822,0.17350624658081906,1.0
866,2/17/17,3/24/17,146.0,FB,Call,0.23,0.18112,133.529999,0.09582477800000001,0.18905073969050634,1.0
867,2/17/17,3/24/17,34.5,EBAY,Call,0.42,0.18118,33.759997999999996,0.09582477800000001,0.1720867059502349,1.0
868,2/17/17,6/16/17,39.0,HOLX,Call,2.3,0.18120999999999998,40.0,0.32580424399999997,0.19104796999072515,1.0
869,2/17/17,3/17/17,820.0,AMZN,Put,6.3,0.18131,845.070007,0.076659822,0.17259064210085157,1.0
870,2/17/17,7/21/17,140.0,SOXX,Call,3.1,0.18137,132.270004,0.421629021,0.17362682760962198,1.0
