,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T
198,2017-02-17,2017-04-21,35.0,TWOU,Put,3.6,0.5284800000000001,35.93,0.17248459958932238
199,2017-02-17,2017-07-21,35.0,TWOU,Call,4.1,0.30488000000000004,35.93,0.4216290212183436
200,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436
201,2017-02-17,2017-04-21,35.0,JOBS,Call,2.8,0.48566000000000004,35.790001000000004,0.17248459958932238
202,2017-02-17,2017-07-21,35.0,JOBS,Call,3.3,0.34105,35.790001000000004,0.4216290212183436
203,2017-02-17,2017-03-17,12.5,CAFD,Call,1.1,0.272,13.4,0.07665982203969883
204,2017-02-17,2017-03-17,12.5,CAFD,Put,0.15,0.27396,13.4,0.07665982203969883
205,2017-02-17,2017-06-16,12.5,CAFD,Call,1.33,0.24458000000000002,13.4,0.3258042436687201
206,2017-02-17,2017-06-16,12.5,CAFD,Put,0.6,0.38521,13.4,0.3258042436687201
207,2017-02-17,2017-09-15,12.5,CAFD,Call,1.6,0.24548000000000003,13.4,0.5749486652977412
208,2017-02-17,2017-09-15,12.5,CAFD,Put,0.95,0.38249,13.4,0.5749486652977412
209,2017-02-17,2017-03-17,15.0,EGHT,Call,0.5,0.41931,15.0,0.07665982203969883
210,2017-02-17,2017-03-17,15.0,EGHT,Put,0.75,0.27765,15.0,0.07665982203969883
211,2017-02-17,2017-05-19,15.0,EGHT,Call,0.88,0.46331999999999995,15.0,0.24914442162902123
212,2017-02-17,2017-05-19,15.0,EGHT,Put,1.35,0.31626,15.0,0.24914442162902123
213,2017-02-17,2017-08-18,15.0,EGHT,Call,1.65,0.42632,15.0,0.49828884325804246
214,2017-02-17,2017-08-18,15.0,EGHT,Put,1.78,0.33027,15.0,0.49828884325804246
215,2017-02-17,2017-03-17,17.5,AVHI,Call,0.4,0.54191,16.700001,0.07665982203969883
216,2017-02-17,2017-03-17,17.5,AVHI,Put,1.65,0.3661,16.700001,0.07665982203969883
217,2017-02-17,2017-06-16,17.5,AVHI,Call,1.4,0.29612,16.700001,0.3258042436687201
218,2017-02-17,2017-06-16,17.5,AVHI,Put,1.75,0.32965,16.700001,0.3258042436687201
219,2017-02-17,2017-09-15,17.5,AVHI,Call,1.75,0.26236,16.700001,0.5749486652977412
220,2017-02-17,2017-09-15,17.5,AVHI,Put,1.7,0.29899000000000003,16.700001,0.5749486652977412
221,2017-02-17,2017-03-17,35.0,SHLM,Call,0.6,0.875,33.75,0.07665982203969883
222,2017-02-17,2017-04-21,35.0,SHLM,Call,1.5,0.5912,33.75,0.17248459958932238
223,2017-02-17,2017-07-21,35.0,SHLM,Call,4.28,0.49661000000000005,33.75,0.4216290212183436
224,2017-02-17,2017-03-17,35.0,AAON,Call,1.19,0.30831,34.349998,0.07665982203969883
225,2017-02-17,2017-04-21,35.0,AAON,Call,1.1,0.28104,34.349998,0.17248459958932238
226,2017-02-17,2017-03-17,50.0,ABAX,Call,1.3,0.28472,49.66,0.07665982203969883
227,2017-02-17,2017-03-17,45.0,ABAX,Put,2.15,0.9754299999999999,49.66,0.07665982203969883
228,2017-02-17,2017-03-17,50.0,ABAX,Put,2.2,0.27923000000000003,49.66,0.07665982203969883
229,2017-02-17,2017-05-19,45.0,ABAX,Put,2.0,0.5220600000000001,49.66,0.24914442162902123
230,2017-02-17,2017-05-19,50.0,ABAX,Put,3.8,0.28489000000000003,49.66,0.24914442162902123
