ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,IV,currentDate,YTM
19-May-17,175,MSG,Put,6.4,,5.6,6.4,0,52,-0.4469,0.02909,-0.14322,-0.03045,0.33428,0.18516,2/17/17,91
19-May-17,180,MSG,Put,11.2,,8.4,9.2,0,4,-0.56459,0.02504,-0.18256,-0.03145,0.3472,0.17833,2/17/17,91
19-May-17,185,MSG,Put,14.45,,11.6,12.7,0,5,-0.7088,0.02681,-0.17433,-0.02428,0.31884,0.19737,2/17/17,91
18-Aug-17,160,MSG,Call,20.4,,19.2,20.7,0,1,0.90898,0.01085,0.69661,-0.02923,0.22271,0.01264,2/17/17,182
18-Aug-17,170,MSG,Call,11.6,,12.5,13.1,0,25,0.68794,0.01676,0.53449,-0.0405,0.43811,0.14448,2/17/17,182
18-Aug-17,175,MSG,Call,8.63,,9.6,10.3,0,11,0.61457,0.02188,0.49409,-0.03874,0.4612,0.13246,2/17/17,182
18-Aug-17,180,MSG,Call,7.55,,7.1,7.7,0,20,0.51128,0.02127,0.41431,-0.03653,0.4957,0.15,2/17/17,182
18-Aug-17,185,MSG,Call,6.37,,5.1,5.9,0,2,0.43342,0.01745,0.34787,-0.03886,0.51672,0.15551,2/17/17,182
18-Aug-17,190,MSG,Call,5.7,,3.5,4,0,100,0.30674,0.02009,0.25677,-0.02782,0.38339,0.18969,2/17/17,182
18-Aug-17,160,MSG,Put,4.01,,3.3,4,0,658,-0.23773,0.01078,-0.18817,-0.02404,0.41986,0.19779,2/17/17,182
18-Aug-17,170,MSG,Put,7.2,,6.2,6.9,0,22,-0.34271,0.01714,-0.25004,-0.01958,0.44735,0.19569,2/17/17,182
18-Aug-17,175,MSG,Put,9.1,,8.1,9,0,41,-0.4336,0.01587,-0.28783,-0.02687,0.46991,0.22561,2/17/17,182
17-Feb-17,10,FLWS,Call,0.4,,,0.05,0,56,0.39135,1,0,-2.4407,0,1.09288,2/17/17,0
17-Feb-17,10,FLWS,Put,0.45,,,0.4,0,55,-0.62806,1,0,-2.04377,0,0.77649,2/17/17,0
17-Mar-17,10,FLWS,Call,0.45,,0.25,0.45,0,68,0.52187,0.56146,0.00377,-0.00715,0.01073,0.31687,2/17/17,28
17-Mar-17,10,FLWS,Put,0.4,,0.25,0.5,0,27,-0.48224,0.45646,-0.00301,-0.00733,0.01074,0.33803,2/17/17,28
16-Jun-17,10,FLWS,Call,0.8,-0.05,0.7,1,2,16,0.56585,0.21514,0.01575,-0.00462,0.02184,0.34132,2/17/17,119
15-Sep-17,10,FLWS,Call,1.05,,1,1.4,0,37,0.59033,0.15529,0.02727,-0.00371,0.02864,0.34122,2/17/17,210
,,,,,,,,,,,,,,,,,
